Comment_ID	Text
z13deduzylm2xtjpn04ch1oh1vbkytjwp24	For all you Libturds: Listen Up!  This is entirely within the purview of the POTUS under current law.  Did we admit Germans and Japanese during WW2?  Hell, No.  While it is the Constitutional right of any American citizen to be a Muslim or an idiot [no difference between the two] that does not mean that foreign nationals who are Muslim have the right to enter the US.
z12wdvwpevbpd1izx04chzi5hyazdroabno0k	Thank you President Trump!!!
z13gejmximmvxtkqt04cjvxziwrpv3wjytw0k	This is a HORRIBLE idea!
z12fjdeamtuexp5y404cgn3ztpndsbxh0pc0k	You know he&#39;s not banning Muslims right? Just from these 7 nations for several months. Muslims from Bangladesh, Indonesia (world&#39;s largest Muslim country), Kuwait, Oman, Malaysia, Bosnia, Kazakhstan, etc. are still free to come and go.
z13jcjdhyovwxvryd04cd1pjfrfdfb1qodk	only smart thing he has thought of
z13cvr1riremvbwcs23bxzzjtr2gvjbkf	for a country that was created by immigrants you are pretty dumb
z12qxvqpcoqlfnnjw04cetzalqrpudpaius0k	I would rather tell the rest of the world to go fuck itself than to worry about having a bomb go off next to me while I am out shopping with my family at the mall one saturday. Fuck the middle east and Europe should follow in America&#39;s footsteps.
z12dibqjwuzlxn4de22nxnwwqla0xrocw	i hated tump but fuck i never he is doing shit that no other president had the balls to do
z12fttrbrsqgyhf0x22rdxag1pr2y135004	ok wait, can someone explain the pentagram with a slave on it in the background??
z123vva4uufgwtc0s22hfzwh1wmktnxka	Now all the Liberal morons will start screaming racist.
z12gt3brbqu5x5uwf04cc5ta5uitchfrxqk0k	Dont let yo President get you fuck up
z12rgfipepn3fhi1k22gf5qahmqrjpgwj04	God bless this man!
z12lg12bnxuvc3xji04cgd3pzrbzxhs5g2o	Finally, some sanity in the world!Political correctness will be the destruction of civilization
z12eypkzdvqagrtbn04ccjmzguigz50jn5o	hell yeah
z12yhjewzwnncxx4004cirs4ynqljtlrvmo0k	TRUMP IS A HERO ALMOST NONE OF MY FRIENDS BELIEVE HES KEEPING HIS PROMISES, WHAT A  MEN.<br />A LEGEND.<br />TRUMP THE LEGEND!
z13li1d45kvjhlafs22dsr0rxkz1gjpie04	A General as Defence Minister!! That&#39;s how should be not politicians!
